date,state,race_known,ethnicity_known
2021-02-17,Alabama,0.6822843,0.1115255
2021-02-17,Alaska,0.7207492,0.7302968
2021-02-17,Arizona,0.6330359,
2021-02-17,Arkansas,,
2021-02-17,California,0.9130000,
2021-02-17,Colorado,0.8502000,
2021-02-17,Connecticut,,
2021-02-17,Delaware,,
2021-02-17,District of Columbia,,
2021-02-17,Florida,0.8294204,0.5693396
2021-02-17,Georgia,,
2021-02-17,Hawaii,,
2021-02-17,Idaho,,
2021-02-17,Illinois,0.9005082,
2021-02-17,Indiana,0.9520000,0.9130000
2021-02-17,Iowa,0.8029923,0.7585851
2021-02-17,Kansas,,
2021-02-17,Kentucky,,
2021-02-17,Louisiana,0.8623000,
2021-02-17,Maine,0.6968602,0.6238722
2021-02-17,Maryland,0.8184765,0.7686715
2021-02-17,Massachusetts,0.7887442,
2021-02-17,Michigan,,
2021-02-17,Minnesota,,
2021-02-17,Mississippi,0.8173903,0.8935661
2021-02-17,Missouri,,
2021-02-17,Montana,,
2021-02-17,Nebraska,0.9649426,0.9553792
2021-02-17,Nevada,,
2021-02-17,New Hampshire,,
2021-02-17,New Jersey,,
2021-02-17,New Mexico,,
2021-02-17,New York,,
2021-02-17,New York City,0.7134530,
2021-02-17,North Carolina,0.9993000,0.9985000
2021-02-17,North Dakota,0.9157000,0.9055000
2021-02-17,Ohio,0.9182257,0.7572447
2021-02-17,Oklahoma,,
2021-02-17,Oregon,0.8658391,0.7680192
2021-02-17,Pennsylvania*,0.7142227,0.6066428
2021-02-17,Philadelphia,0.9509360,
2021-02-17,Rhode Island,,
2021-02-17,South Carolina,,
2021-02-17,South Dakota,,
2021-02-17,Tennessee,0.8902524,0.8311092
2021-02-17,Texas,0.6589663,
2021-02-17,Houston,,
2021-02-17,San Antonio,,
2021-02-17,Utah,,
2021-02-17,Vermont,0.8600000,0.7700000
2021-02-17,Virginia,0.6638999,
2021-02-17,Washington,0.8871579,
2021-02-17,West Virginia,,
2021-02-17,Wisconsin,0.8665633,0.9271348
2021-02-17,Wyoming,,
2021-02-17,American Samoa,,
2021-02-17,Guam,,
2021-02-17,Northern Marianas,,
2021-02-17,Puerto Rico,,
2021-02-17,U.S. Virgin Islands,,
2021-02-17,Micronesia,,
2021-02-17,Marshall Islands,,
2021-02-17,Palau,,
2021-04-10,Alabama,0.7621698,0.1741091
2021-04-10,Alaska,0.8719036,0.7432553
2021-04-10,Arizona,0.8627625,
2021-04-10,Arkansas,,
2021-04-10,California,0.8540000,
2021-04-10,Colorado,0.8793000,
2021-04-10,Connecticut,0.9367583,
2021-04-10,Delaware,,
2021-04-10,District of Columbia,0.8620266,0.6865106
2021-04-10,Florida,0.8469291,0.6569330
2021-04-10,Georgia,0.9025155,0.7524275
2021-04-10,Hawaii,0.8185130,
2021-04-10,Idaho,0.7351158,0.6244102
2021-04-10,Illinois,0.9474998,
2021-04-10,Indiana,0.9608834,0.9264231
2021-04-10,Iowa,0.8516231,0.8079616
2021-04-10,Kansas,0.8774634,0.8067423
2021-04-10,Kentucky,0.9305221,
2021-04-10,Louisiana,0.9840000,
2021-04-10,Maine,0.8103019,0.7398266
2021-04-10,Maryland,0.9495333,0.9438064
2021-04-10,Massachusetts,0.8920290,
2021-04-10,Michigan,0.7155335,
2021-04-10,Minnesota,0.8400000,
2021-04-10,Mississippi,0.9164040,0.9094413
2021-04-10,Missouri,0.7903391,0.7808367
2021-04-10,Montana,,
2021-04-10,Nebraska,0.9631981,0.9314932
2021-04-10,Nevada,,
2021-04-10,New Hampshire,,
2021-04-10,New Jersey,,
